,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
1151,https://jow.fr/recipes/risotto-aux-tomates-8edw9y3bl5iq2lmq0uf4,Risotto aux tomates,-2 € par portion,6 minutes,19 minutes,0 minutes,362 kcal,['Riz (Arborio)', 'Tomate', 'Bouillon de légumes (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '60 g', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
1152,https://jow.fr/recipes/salade-de-pommes-de-terre-a-l-italienne-8edwb4rbl5iq2lmq0ujg,Salade de pommes de terre à l'italienne,2 € et 4 € par portion,5 minutes,20 minutes,0 minutes,237 kcal,['Pommes de terre (primeur)', 'Tomate cerise', 'Câpres', 'Anchois', 'Olive noire dénoyautée'],['150 g', '100 g', '20 g', '30 g', '1/4  '],,,,,,,,,,,,,,,,
1153,https://jow.fr/recipes/saumon-au-curcuma-et-brocoli-8edwc2qfl5iq2lmq0uo0,Saumon au curcuma & brocoli,+4 € par portion,3 minutes,12 minutes,0 minutes,327 kcal,['Brocoli (frais)', 'Saumon (frais)', 'Curcuma (poudre)', 'Citron jaune'],['250 g', '1  ', '1/2 càc', '1/4  '],,,,,,,,,,,,,,,,,,
1154,https://jow.fr/recipes/cabillaud-amandes-et-haricots-8edweuafl5iq2lmq0us3,Cabillaud, amandes & haricots,+4 € par portion,4 minutes,12 minutes,0 minutes,235 kcal,['Haricot vert (frais)', 'Cabillaud (frais)', 'Citron jaune', 'Amandes (effilées)'],['250 g', '1  ', '1/4  ', '10 g'],,,,,,,,,,,,,,,,,
1156,https://jow.fr/recipes/poulet-au-sesame-8edwhzo7l5iq2lmq0vat,Poulet au sésame,2 € et 4 € par portion,4 minutes,12 minutes,0 minutes,459 kcal,['Brocoli (frais)', 'Poulet (escalope)', 'Sauce soja sucrée', 'Gingembre (frais)', 'Graines de sésame', 'Riz'],['80 g', '1  ', '1 càc', '1 cm', '1/2 càc', '70 g'],,,,,,,,,,,,,,
1157,https://jow.fr/recipes/butternut-et-saucisses-roties-8edwj93rl5iq2lmq0vib,Butternut & saucisses rôties,2 € et 4 € par portion,7 minutes,30 minutes,0 minutes,672 kcal,['Courge butternut', 'Saucisse (fumée)', 'Épinard (frais)', 'Mélange céréales', 'Oignon rouge'],['1/4  ', '80 g', '2 poignées', '40 g', '1/4  '],,,,,,,,,,,,,,,,
1158,https://jow.fr/recipes/gratin-de-brocoli-8edwk8gnl5iq2lmq0vmr,Gratin de brocoli,-2 € par portion,4 minutes,22 minutes,0 minutes,384 kcal,['Brocoli (frais)', 'Farine de blé', 'Fromage râpé', 'Beurre', 'Lait'],['250 g', '13 g', '30 g', '13 g', '13 cl'],,,,,,,,,,,,,,,,
1159,https://jow.fr/recipes/gratin-de-chou-fleur-8edx2mu8l98x9rzm0po7,Gratin de chou-fleur,-2 € par portion,4 minutes,21 minutes,0 minutes,356 kcal,['Chou-fleur (frais)', 'Farine de blé', 'Fromage râpé', 'Beurre', 'Lait'],['250 g', '13 g', '30 g', '13 g', '13 cl'],,,,,,,,,,,,,,,,
1160,https://jow.fr/recipes/lasagnes-courgette-ricotta-8edx47c0l98x9rzm0pxj,Lasagnes courgette ricotta,2 € et 4 € par portion,10 minutes,40 minutes,0 minutes,752 kcal,['Lasagnes (cru)', 'Courgette', 'Mozzarella (boule)', 'Ricotta', 'Crème liquide', 'Basilic (frais)', 'Parmesan (râpé)'],['90 g', '500 g', '100 g', '100 g', '16 cl', '1/5 bou.', '2 càs'],,,,,,,,,,,,
1162,https://jow.fr/recipes/salade-de-brocolis-au-pesto-8edx86jkl98x9rzm0ql8,Salade de brocolis au pesto,2 € et 4 € par portion,4 minutes,7 minutes,0 minutes,448 kcal,['Brocoli (frais)', 'Burrata', 'Sauce pesto'],['250 g', '80 g', '1 càc'],,,,,,,,,,,,,,,,,,,,
1163,https://jow.fr/recipes/salade-de-semoule-printaniere-8edxa2hsl98x9rzm0qzm,Salade de semoule printanière,-2 € par portion,5 minutes,5 minutes,0 minutes,416 kcal,['Semoule', 'Cerises', 'Petits pois (surgelés)', 'Chèvre frais'],['60 g', '50 g', '80 g', '40 g'],,,,,,,,,,,,,,,,,,
1164,https://jow.fr/recipes/salade-fraiche-aux-petits-pois-8edx8wtcl98x9rzm0qop,Salade fraîche aux petits pois,+4 € par portion,5 minutes,8 minutes,0 minutes,513 kcal,['Petits pois (frais)', 'Œuf', 'Salade (mélange mâche-roquette)', 'Anchois', 'Feta', 'Ail'],['200 g', '1  ', '1 poignée', '2  ', '50 g', '1/4 gou.'],,,,,,,,,,,,,,
1165,https://jow.fr/recipes/salade-nectarines-haricots-et-amandes-8edx9e00l98x9rzm0qtn,Salade nectarines, haricots & amandes,2 € et 4 € par portion,5 minutes,8 minutes,0 minutes,274 kcal,['Haricot vert (frais)', 'Nectarine', 'Amandes (entières)'],['200 g', '1  ', '15 g'],,,,,,,,,,,,,,,,,,,
1166,https://jow.fr/recipes/tatin-d-echalotes-8edxc55sl98x9rzm0r7h,Tatin d'échalotes,-2 € par portion,5 minutes,30 minutes,0 minutes,429 kcal,['Échalote', 'Pâte feuilletée', 'Beurre demi-sel', 'Sucre (en poudre)', 'Thym (branches)', 'Vinaigre balsamique'],['600 g', '1  ', '40 g', '40 g', '2 pinc.', '2 càs'],,,,,,,,,,,,,,
1167,https://jow.fr/recipes/salade-printaniere-au-crabe-8edxdeng1qr67rkj0zxs,Salade printanière au crabe,2 € et 4 € par portion,10 minutes,20 minutes,0 minutes,218 kcal,['Haricot vert (frais)', 'Petits pois (frais)', 'Pommes de terre (primeur)', 'Radis', 'Crabe (chair)'],['70 g', '70 g', '70 g', '50 g', '50 g'],,,,,,,,,,,,,,,,
1169,https://jow.fr/recipes/pumpkin-pasta-8egpjsr1fycwkhym167x,Pumpkin pasta ,-2 € par portion,5 minutes,21 minutes,0 minutes,809 kcal,['Potimarron', 'Pâtes (Rigatoni)', 'Ail', 'Parmesan (râpé)', 'Crème liquide'],['1/8  ', '100 g', '1/4 gou.', '25 g', '5 cl'],,,,,,,,,,,,,,,,
1171,https://jow.fr/recipes/poelee-de-chou-fleur-et-canard-8ei2me9tc0aok6pf0t9n,Poêlée de chou-fleur & canard,+4 € par portion,5 minutes,10 minutes,0 minutes,509 kcal,['Canard (magret)', 'Chou-fleur (frais)', 'Oignon rouge', 'Vinaigre de cidre', 'Curcuma (poudre)'],['1/2  ', '200 g', '1/2  ', '1 càs', '1/4 càc'],,,,,,,,,,,,,,,,
1172,https://jow.fr/recipes/smashed-potatoes-et-saumon-fume-8eig49ib694gki7m06f7,Smashed potatoes & saumon fumé,+4 € par portion,3 minutes,20 minutes,0 minutes,633 kcal,['Pommes de terre (primeur)', 'Crème fraîche', 'Saumon (fumé)', 'Salade (mâche)', 'Citron jaune', 'Ciboulette'],['250 g', '1 càs', '2 tran.', '2 poignées', '1/4  ', '1/10 bou.'],,,,,,,,,,,,,,
1173,https://jow.fr/recipes/gougeres-maison-8ehzh9zzkrhcken913gq,Gougères maison ,,8 minutes,25 minutes,0 minutes,281 kcal,['Farine de blé', 'Lait', 'Beurre', 'Fromage râpé', 'Œuf'],['50 g', '4 cl', '23 g', '33 g', '1  '],,,,,,,,,,,,,,,,
1174,https://jow.fr/recipes/risotto-parmesan-et-crevettes-8eig6sk13fggkjd30zsy,Risotto parmesan & crevettes,-2 € par portion,2 minutes,25 minutes,0 minutes,390 kcal,['Riz (Arborio)', 'Crevette (cuite)', 'Bouillon de volaille (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '50 g', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
1176,https://jow.fr/recipes/cabillaud-en-papillote-et-agrumes-8ek9gb04f3i8kcx70dk7,Cabillaud en papillote & agrumes ,+4 € par portion,10 minutes,10 minutes,0 minutes,391 kcal,['Cabillaud (frais)', 'Riz', 'Citron jaune', 'Orange', 'Échalote'],['1  ', '70 g', '1/4  ', '1/4  ', '1/2  '],,,,,,,,,,,,,,,,
1177,https://jow.fr/recipes/boeuf-en-croute-au-foie-gras-8eka3adnewz4kbqe068r,Bœuf en croûte au foie gras ,+4 € par portion,16 minutes,30 minutes,10 minutes,560 kcal,['Bœuf (rôti)', 'Foie gras', 'Sucre (en poudre)', 'Vinaigre de Xérès', 'Pâte feuilletée', 'Salade (Mélange)'],['800 g', '200 g', '60 g', '3 càs', '1  ', '12 poignées'],,,,,,,,,,,,,,
1180,https://jow.fr/recipes/gougeres-maison-au-chorizo-8ekagipgf3i8kcx70e41,Gougères maison au chorizo,,10 minutes,25 minutes,0 minutes,319 kcal,['Farine de blé', 'Lait', 'Beurre', 'Fromage râpé', 'Œuf', 'Chorizo (tranches)'],['50 g', '4 cl', '23 g', '33 g', '1  ', '23 g'],,,,,,,,,,,,,,
1181,https://jow.fr/recipes/ravioles-a-la-toscane-8ekx43augkyoka5t0v68,Ravioles à la toscane,2 € et 4 € par portion,2 minutes,7 minutes,0 minutes,590 kcal,['Ravioli (ricotta-épinards)', 'Tomates séchées', 'Crème fraîche', 'Épinard (frais)', 'Parmesan (râpé)', 'Ail'],['125 g', '50 g', '1 càs', '2 poignées', '1 càs', '1/4 gou.'],,,,,,,,,,,,,,
1182,https://jow.fr/recipes/fajitas-au-boeuf-express-8eky9qs4ehogk8rj1di3,Fajitas au bœuf express,2 € et 4 € par portion,3 minutes,4 minutes,0 minutes,438 kcal,['Tortilla (blé)', 'Bœuf (steak haché frais)', 'Tomate (chair)', 'Crème fraîche', 'Fromage râpé', 'Coriandre (frais)'],['1  ', '1  ', '100 g', '1 càc', '15 g', '1/10 bou.'],,,,,,,,,,,,,,
1183,https://jow.fr/recipes/riz-saute-et-sauce-pimentee-8eofj6bcgk5vh59r0qe8,Riz sauté & sauce pimentée,-2 € par portion,2 minutes,15 minutes,0 minutes,459 kcal,['Riz', 'Ail', 'Sauce soja salée', 'Sauce piment (Sriracha)', 'Ciboulette', 'Œuf'],['90 g', '1/2 gou.', '1 càc', '1 càc', '1/10 bou.', '1  '],,,,,,,,,,,,,,
1186,https://jow.fr/recipes/endives-au-jambon-8eqo26nkhs3mkokz0m0y,Endives au jambon ,2 € et 4 € par portion,10 minutes,35 minutes,0 minutes,441 kcal,['Endives', 'Beurre', 'Farine de blé', 'Lait', 'Fromage râpé', 'Jambon blanc'],['300 g', '13 g', '13 g', '13 cl', '30 g', '2 tran.'],,,,,,,,,,,,,,
1188,https://jow.fr/recipes/veloute-d-endives-au-lard-8eqq2izhbbwikptt019h,Velouté d'endives au lard,2 € et 4 € par portion,5 minutes,19 minutes,0 minutes,225 kcal,['Endives', 'Échalote', 'Bouillon de volaille (cube)', 'Crème fraîche', 'Lard (tranches)'],['300 g', '1/2  ', '1/4  ', '1 càc', '2 tran.'],,,,,,,,,,,,,,,,
1190,https://jow.fr/recipes/saucisse-aux-oignons-8etm35zb0glckbe20h8c,Saucisse aux oignons,2 € et 4 € par portion,8 minutes,20 minutes,0 minutes,850 kcal,"['Pommes de terre', 'Lait', 'Beurre', 'Saucisse (fumée)', 'Oignon jaune', 'ancienne""]']",['250 g', '5 cl', '40 g', '1  ', '1/2  ', '1 càc'],,,,,,,,,,,,,,,,,,,
1191,https://jow.fr/recipes/knack-et-puree-8etmacup2me8kcmu0f34,Knack & purée,-2 € par portion,5 minutes,20 minutes,0 minutes,553 kcal,['Pommes de terre', 'Saucisse knack (porc)', 'Lait', 'Beurre'],['250 g', '2  ', '5 cl', '20 g'],,,,,,,,,,,,,,,,,,
1192,https://jow.fr/recipes/saucisse-et-puree-maison-8etm45u92me8kcmu0f00,Saucisse & purée maison,2 € et 4 € par portion,8 minutes,20 minutes,0 minutes,633 kcal,['Pommes de terre', 'Lait', 'Beurre', 'Saucisse (fumée)', 'Fond de veau'],['250 g', '10 cl', '13 g', '1  ', '1/2 càc'],,,,,,,,,,,,,,,,
1193,https://jow.fr/recipes/polenta-et-ragu-8etljabr0glckbe20gt3,Polenta & ragu,2 € et 4 € par portion,3 minutes,15 minutes,0 minutes,641 kcal,['Polenta', 'Lait', 'Parmesan (râpé)', 'Chair à saucisse', 'Tomate pelée', 'Basilic (frais)', 'Ail'],['50 g', '25 cl', '1 càs', '100 g', '80 g', '1/10 bou.', '1/4 gou.'],,,,,,,,,,,,
1194,https://jow.fr/recipes/pasta-et-ragu-8etlivbb0glckbe20gsn,Pasta & ragu,2 € et 4 € par portion,3 minutes,10 minutes,0 minutes,755 kcal,['Pâtes (Pappardelle)', 'Chair à saucisse', 'Tomate pelée', 'Basilic (frais)', 'Ail', 'Parmesan (râpé)'],['100 g', '100 g', '80 g', '1/10 bou.', '1/4 gou.', '20 g'],,,,,,,,,,,,,,
1195,https://jow.fr/recipes/boeuf-bourguignon-8eshe411e390mes50u2b,Bœuf bourguignon,+4 € par portion,9 minutes,2 h 6 min,0 minutes,526 kcal,['Bœuf (onglet)', 'Carotte (frais)', 'Oignon jaune', 'Ail', 'Vin rouge', 'Lardons', 'Farine de blé'],['150 g', '1/2  ', '1/4  ', '1/4 gou.', '9 cl', '15 g', '1/2 càs'],,,,,,,,,,,,
1196,https://jow.fr/recipes/lasagnes-alla-bolognese-8etmczrb0glckbe20hpp,Lasagnes alla bolognese,2 € et 4 € par portion,10 minutes,40 minutes,0 minutes,699 kcal,['Lasagnes (cru)', 'Tomate (purée)', 'Mozzarella (boule)', 'Lait', 'Beurre', 'Farine de blé', 'Thym (feuilles)', 'Oignon jaune', 'Ail', 'Basilic (frais)', 'Bœuf (haché)'],['90 g', '250 g', '100 g', '25 cl', '20 g', '30 g', '1 pinc.', '1/2  ', '1/2 gou.', '1/5 bou.', '200 g'],,,,
1197,https://jow.fr/recipes/crevettes-au-curry-express-8etn4a6p2me8kcmu0fm8,Crevettes au curry express,2 € et 4 € par portion,2 minutes,9 minutes,0 minutes,457 kcal,['Riz', 'Crevette (cuite)', 'Crème fraîche', 'Coriandre (frais)', 'Curry (poudre)'],['70 g', '80 g', '1 càs', '1/10 bou.', '1/2 càc'],,,,,,,,,,,,,,,,
1199,https://jow.fr/recipes/salade-de-pommes-de-terre-a-l-italienne-8etpi2lr455jdqzu04wp,Salade de pommes de terre à l'italienne,2 € et 4 € par portion,5 minutes,25 minutes,0 minutes,237 kcal,['Pommes de terre (primeur)', 'Tomate cerise', 'Câpres', 'Anchois', 'Olive noire dénoyautée'],['150 g', '100 g', '20 g', '30 g', '1/4  '],,,,,,,,,,,,,,,,
1200,https://jow.fr/recipes/risotto-aux-tomates-8etom8bz455jdqzu04vv,Risotto aux tomates,-2 € par portion,6 minutes,23 minutes,0 minutes,362 kcal,['Riz (Arborio)', 'Tomate', 'Bouillon de légumes (cube)', 'Parmesan (râpé)', 'Vin blanc', 'Échalote'],['70 g', '60 g', '1/4  ', '1 càs', '2 cl', '1/4  '],,,,,,,,,,,,,,
1201,https://jow.fr/recipes/saumon-au-curcuma-et-brocoli-8etpm9fucixzdscu0j1p,Saumon au curcuma & brocoli,+4 € par portion,3 minutes,30 minutes,0 minutes,327 kcal,['Brocoli (frais)', 'Saumon (frais)', 'Curcuma (poudre)', 'Citron jaune'],['250 g', '1  ', '1/2 càc', '1/4  '],,,,,,,,,,,,,,,,,,
1202,https://jow.fr/recipes/curry-de-haricots-rouges-8etmao7b0glckbe20hk5,Curry de haricots rouges,-2 € par portion,3 minutes,10 minutes,0 minutes,532 kcal,['Haricots rouges (cuits)', 'Lait de coco', 'Tomate (chair)', 'Oignon rouge', 'Cumin (moulu)', 'Riz', 'Curry (poudre)', 'Coriandre (frais)'],['100 g', '6 cl', '50 g', '1/4  ', '1 pinc.', '70 g', '1/4 pinc.', '1/10 bou.'],,,,,,,,,,
1203,https://jow.fr/recipes/canard-a-l-orange-et-patate-douce-8etog8w70glckbe20hxm,Canard à l'orange & patate douce ,+4 € par portion,10 minutes,21 minutes,0 minutes,750 kcal,['Canard (magret)', 'Patate douce', 'Orange', 'Miel (liquide)'],['1/2  ', '250 g', '1/2  ', '1/2 càs'],,,,,,,,,,,,,,,,,,
1204,https://jow.fr/recipes/gratin-de-brocoli-8etqlc96cixzdscu0jgh,Gratin de brocoli,-2 € par portion,4 minutes,42 minutes,0 minutes,374 kcal,['Brocoli (frais)', 'Farine de blé', 'Fromage râpé', 'Beurre', 'Lait'],['250 g', '15 g', '30 g', '10 g', '13 cl'],,,,,,,,,,,,,,,,
1206,https://jow.fr/recipes/butternut-et-saucisses-roties-8etqc0j3455jdqzu059a,Butternut & saucisses rôties,2 € et 4 € par portion,7 minutes,45 minutes,0 minutes,672 kcal,['Courge butternut', 'Saucisse (fumée)', 'Épinard (frais)', 'Mélange céréales', 'Oignon rouge'],['1/4  ', '80 g', '2 poignées', '40 g', '1/4  '],,,,,,,,,,,,,,,,
1207,https://jow.fr/recipes/cabillaud-amandes-et-haricots-8etq363z455jdqzu050l,Cabillaud, amandes & haricots,+4 € par portion,4 minutes,30 minutes,0 minutes,235 kcal,['Haricot vert (frais)', 'Cabillaud (frais)', 'Citron jaune', 'Amandes (effilées)'],['250 g', '1  ', '1/4  ', '10 g'],,,,,,,,,,,,,,,,,
1208,https://jow.fr/recipes/poulet-au-sesame-8etqapfucixzdscu0jbc,Poulet au sésame,2 € et 4 € par portion,4 minutes,15 minutes,0 minutes,459 kcal,['Brocoli (frais)', 'Poulet (escalope)', 'Sauce soja sucrée', 'Gingembre (frais)', 'Graines de sésame', 'Riz'],['80 g', '1  ', '1 càc', '1 cm', '1/2 càc', '70 g'],,,,,,,,,,,,,,
1209,https://jow.fr/recipes/gratin-de-chou-fleur-8etr3bn3455jdqzu05k1,Gratin de chou-fleur,-2 € par portion,3 minutes,37 minutes,0 minutes,347 kcal,['Chou-fleur (frais)', 'Farine de blé', 'Fromage râpé', 'Beurre', 'Lait'],['250 g', '15 g', '30 g', '10 g', '13 cl'],,,,,,,,,,,,,,,,
1211,https://jow.fr/recipes/salade-de-brocolis-au-pesto-8etr6gy2cixzdscu0jy4,Salade de brocolis au pesto,2 € et 4 € par portion,4 minutes,15 minutes,0 minutes,448 kcal,['Brocoli (frais)', 'Burrata', 'Sauce pesto'],['250 g', '80 g', '1 càc'],,,,,,,,,,,,,,,,,,,,
1212,https://jow.fr/recipes/pasta-au-pesto-maison-8etr957z455jdqzu05vr,Pasta au pesto maison,-2 € par portion,5 minutes,10 minutes,0 minutes,672 kcal,"['Pâtes (trofie)', 'Basilic (frais)', 'olive"", ', ', ', ', ', ']']",['100 g', '1/5 bou.', '2 cl', '10 g', '1/4 gou.', '20 g'],,,,,,,,,,,,,,,,,,,
1213,https://jow.fr/recipes/salade-nectarines-haricots-et-amandes-8etrhefecixzdscu0kdx,Salade nectarines, haricots & amandes,2 € et 4 € par portion,5 minutes,10 minutes,0 minutes,274 kcal,['Haricot vert (frais)', 'Nectarine', 'Amandes (entières)'],['200 g', '1  ', '15 g'],,,,,,,,,,,,,,,,,,,
1214,https://jow.fr/recipes/salade-de-semoule-printaniere-8etriu27455jdqzu06lf,Salade de semoule printanière,-2 € par portion,5 minutes,10 minutes,0 minutes,416 kcal,['Semoule', 'Cerises', 'Petits pois (surgelés)', 'Chèvre frais'],['60 g', '50 g', '80 g', '40 g'],,,,,,,,,,,,,,,,,,
1215,https://jow.fr/recipes/salade-printaniere-au-crabe-8etrke5r455jdqzu06om,Salade printanière au crabe,2 € et 4 € par portion,10 minutes,25 minutes,0 minutes,218 kcal,['Haricot vert (frais)', 'Petits pois (frais)', 'Pommes de terre (primeur)', 'Radis', 'Crabe (chair)'],['70 g', '70 g', '70 g', '50 g', '50 g'],,,,,,,,,,,,,,,,
1216,https://jow.fr/recipes/salade-fraiche-aux-petits-pois-8etrdphmcixzdscu0k61,Salade fraîche aux petits pois,+4 € par portion,5 minutes,10 minutes,0 minutes,513 kcal,['Petits pois (frais)', 'Œuf', 'Salade (mélange mâche-roquette)', 'Anchois', 'Feta', 'Ail'],['200 g', '1  ', '1 poignée', '2  ', '50 g', '1/4 gou.'],,,,,,,,,,,,,,
1217,https://jow.fr/recipes/bouillon-poireau-et-champignon-8ewmkjd94slskmhq0b5r,Bouillon poireau & champignon,-2 € par portion,4 minutes,16 minutes,0 minutes,304 kcal,['Blé (à cuire)', 'Poireau', 'Champignons de Paris (frais)', 'Oignon jaune', 'Bouillon de légumes (cube)', 'Sauce soja salée'],['50 g', '1/2  ', '75 g', '1/4  ', '1/4  ', '1 càs'],,,,,,,,,,,,,,
1218,https://jow.fr/recipes/pithiviers-aux-legumes-8ewn61g6a3bo741y18c7,Pithiviers aux légumes,2 € et 4 € par portion,30 minutes,30 minutes,0 minutes,703 kcal,['Céleri-rave', 'Pâte feuilletée', 'Oignon jaune', 'Tomme', 'Œuf', 'Crème fraîche', 'Beurre', 'Ail'],['900 g', '2  ', '300 g', '300 g', '1  ', '50 g', '100 g', '1 gou.'],,,,,,,,,,
1219,https://jow.fr/recipes/feuillete-au-jambon-et-fromage-8ewnibbqa3bo741y18w2,Feuilleté au jambon & fromage,-2 € par portion,8 minutes,36 minutes,0 minutes,570 kcal,['Pâte feuilletée', 'Beurre', 'Farine de blé', 'Lait', 'Jambon blanc', 'Fromage râpé', 'Œuf'],['2  ', '65 g', '65 g', '6 cl', '6 tran.', '150 g', '1  '],,,,,,,,,,,,
1221,https://jow.fr/recipes/boulettes-et-puree-de-courge-8ewoi1vcbu50758u10kd,Boulettes & purée de courge,2 € et 4 € par portion,5 minutes,20 minutes,0 minutes,785 kcal,['Chair à saucisse', 'Échalote', 'Persil (frais)', 'Potimarron', 'Œuf', 'Farine de blé'],['150 g', '1/4  ', '1/4 bou.', '1/4  ', '1/4  ', '1 càs'],,,,,,,,,,,,,,
1222,https://jow.fr/recipes/tuna-bowl-8ey9ixrxjgwgk8x11c6f,Tuna bowl,2 € et 4 € par portion,4 minutes,10 minutes,0 minutes,577 kcal,['Riz', 'Thon (conserve)', 'Brocoli (frais)', 'Patate douce', 'Sauce soja sucrée'],['70 g', '50 g', '80 g', '80 g', '2 càs'],,,,,,,,,,,,,,,,
1223,https://jow.fr/recipes/wrap-au-thon-8eya317aevmb66v5146i,Wrap au thon,2 € et 4 € par portion,0 minutes,5 minutes,0 minutes,419 kcal,['Tortilla (blé)', 'Thon (conserve)', 'Fromage frais', 'Salade (Mélange)', 'Échalote', 'Citron jaune', 'Avocat'],['1  ', '50 g', '50 g', '1 poignée', '1/4  ', '1/8  ', '1/2  '],,,,,,,,,,,,
1225,https://jow.fr/recipes/saucisse-et-lentilles-8f7rhmw05aep170z0ywm,Saucisse & lentilles ,2 € et 4 € par portion,5 minutes,35 minutes,0 minutes,578 kcal,['Lentilles (à cuire)', 'Saucisse (fumée)', 'Oignon jaune', 'Carotte (frais)'],['70 g', '1  ', '1/4  ', '1/2  '],,,,,,,,,,,,,,,,,,
1226,https://jow.fr/recipes/pot-au-feu-8f7si9sw5aep170z0ywv,Pot-au-feu,2 € et 4 € par portion,3 minutes,2 h 30 min,0 minutes,867 kcal,['Bœuf (paleron)', 'Pommes de terre', 'Carotte (frais)', 'Poireau', 'Oignon jaune', 'Bouquet garni', 'Os à moelle'],['100 g', '100 g', '1/2  ', '1/4  ', '1/4  ', '1/5  ', '100 g'],,,,,,,,,,,,
1228,https://jow.fr/recipes/bavette-et-haricots-verts-8f8th8x2044h1b2t00nm,Bavette & haricots verts ,+4 € par portion,4 minutes,15 minutes,0 minutes,471 kcal,['Bœuf (bavette)', 'Échalote', 'Haricot vert (frais)', 'Beurre'],['1  ', '1/2  ', '250 g', '20 g'],,,,,,,,,,,,,,,,,,
1229,https://jow.fr/recipes/bavette-et-puree-de-courge-8f8tm2lg7sr519r003fl,Bavette & purée de courge,+4 € par portion,6 minutes,25 minutes,0 minutes,489 kcal,['Bœuf (bavette)', 'Échalote', 'Potimarron', 'Beurre'],['1  ', '1/2  ', '1/4  ', '20 g'],,,,,,,,,,,,,,,,,,
1230,https://jow.fr/recipes/souffle-au-fromage-8f8xjobulls6gqse0dtc,Soufflé au fromage ,-2 € par portion,5 minutes,30 minutes,0 minutes,312 kcal,['Beurre', 'Farine de blé', 'Lait', 'Fromage râpé', 'Œuf'],['13 g', '13 g', '13 cl', '10 g', '1  '],,,,,,,,,,,,,,,,
1231,https://jow.fr/recipes/bowl-crevettes-et-avocat-8f9f7kw5gog219gq00we,Bowl crevettes & avocat ,2 € et 4 € par portion,3 minutes,4 minutes,0 minutes,718 kcal,['Vermicelles de riz', 'Avocat', 'Crevette (cuite)', 'Sauce soja sucrée', 'Citron vert', 'Cacahuète', 'Coriandre (frais)'],['50 g', '1/2  ', '60 g', '1 càs', '1/4  ', '50 g', '1/10 bou.'],,,,,,,,,,,,
1232,https://jow.fr/recipes/bouillon-coco-aux-legumes-8f9m0fow4sm9a59s0rle,Bouillon coco aux légumes,-2 € par portion,5 minutes,7 minutes,0 minutes,142 kcal,['Brocoli (frais)', 'Champignons de Paris (frais)', 'Lait de coco', 'Bouillon de légumes (cube)', 'Gingembre (frais)', 'Ail', 'Sauce soja salée'],['150 g', '80 g', '2 càs', '1/4  ', '5 g', '1/4 gou.', '1 càs'],,,,,,,,,,,,
1233,https://jow.fr/recipes/poulet-roti-et-pomme-de-terre-8fba3kdsk4zrlk18130n,Poulet rôti & pomme de terre,2 € et 4 € par portion,6 minutes,1 h 30 min,0 minutes,927 kcal,['Poulet (entier)', 'Beurre', 'Ail', 'Pommes de terre (primeur)'],['1  ', '80 g', '4 gou.', '800 g'],,,,,,,,,,,,,,,,,,
1234,https://jow.fr/recipes/steak-hache-sauce-au-roquefort-et-puree-8fbblmqjbhfle9sw0ea6,Steak haché sauce au roquefort & purée ,2 € et 4 € par portion,5 minutes,17 minutes,0 minutes,714 kcal,['Bœuf (steak haché frais)', 'Pommes de terre', 'Lait', 'Beurre', 'Crème fraîche', 'Roquefort'],['1  ', '250 g', '5 cl', '20 g', '1 càs', '25 g'],,,,,,,,,,,,,,
1235,https://jow.fr/recipes/bourguignon-veggie-et-polenta-8fczhd4mfegh1b260rao,Bourguignon veggie & polenta ,-2 € par portion,8 minutes,30 minutes,0 minutes,668 kcal,['Champignons de Paris (frais)', 'Polenta', 'Carotte (frais)', 'Oignon jaune', 'Vin rouge', 'Tomate (concentré)', 'Boisson amande'],['100 g', '50 g', '40 g', '1/4  ', '10 cl', '1 càc', '25 cl'],,,,,,,,,,,,
1236,https://jow.fr/recipes/bavette-a-l-echalote-pommes-de-terre-et-haricots-8fdndfcrf81clkw10y3f,Bavette à l'échalote, pommes de terre & haricots,+4 € par portion,4 minutes,22 minutes,0 minutes,551 kcal,['Bœuf (bavette)', 'Échalote', 'Haricot vert (frais)', 'Beurre', 'Pommes de terre (primeur)'],['1  ', '1/2  ', '100 g', '20 g', '150 g'],,,,,,,,,,,,,,,
1237,https://jow.fr/recipes/blanquette-de-veau-8fd18oitk9v519zj0n9h,Blanquette de veau,2 € et 4 € par portion,9 minutes,1 h 35 min,0 minutes,274 kcal,['Carotte (frais)', 'Poireau', 'Champignons de Paris (frais)', 'Oignon jaune', 'Vin blanc', 'Crème fraîche', 'Farine de blé', 'Veau (blanquette)'],['1/2  ', '80 g', '80 g', '1/4  ', '2 cl', '1/2 càs', '1 càc', '100 g'],,,,,,,,,,
1238,https://jow.fr/recipes/steak-hache-puree-et-haricots-verts-8fe56r36f94wk4s6161o,Steak haché, purée & haricots verts,2 € et 4 € par portion,4 minutes,20 minutes,0 minutes,486 kcal,['Bœuf (steak haché frais)', 'Pommes de terre', 'Échalote', 'Haricot vert (frais)', 'Lait', 'Beurre'],['1  ', '150 g', '1/2  ', '100 g', '3 cl', '20 g'],,,,,,,,,,,,,
