,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
31,https://jow.fr/recipes/tartine-chevre-figue-jambon-80ttf4jc0ruo040r1bo0,Tartine chèvre figue jambon,+4 € par portion,5 minutes,10 minutes,0 minutes,647 kcal,['Figue', 'Pain de campagne (tranché)', 'Chèvre frais', 'Jambon cru', 'Miel (liquide)', 'Noix', 'Salade (Mélange)'],['2  ', '2 tran.', '2 càs', '2 tran.', '1 càc', '10 g', '1 poignée'],,,,,,,,,,,,
32,https://jow.fr/recipes/salade-de-legumes-rotis-80ud51vc0ruo040r1bru,Salade de légumes rôtis,2 € et 4 € par portion,6 minutes,30 minutes,0 minutes,426 kcal,['Aubergine', 'Courgette', 'Tomate', 'Mozzarella di bufala', 'Ail', 'Pignons de pin', 'Olive noire dénoyautée'],['1/2  ', '1/2  ', '2  ', '1/2  ', '1/2 gou.', '1 càs', '5  '],,,,,,,,,,,,
34,https://jow.fr/recipes/aubergine-rotie-sauce-yaourt-80uf18xsg48w043m0g4y,Aubergine rôtie sauce yaourt ,2 € et 4 € par portion,3 minutes,35 minutes,0 minutes,574 kcal,['Aubergine', 'Quinoa (cru)', 'Menthe (feuilles)', 'Citron vert', 'Yaourt Grec', 'Salade (Mélange)'],['1/2  ', '100 g', '1/50 bou.', '1/4  ', '3 càs', '1 poignée'],,,,,,,,,,,,,,
35,https://jow.fr/recipes/salade-de-farfalles-815l1b2n0z8g00wy1ejh,Salade de farfalles,-2 € par portion,5 minutes,9 minutes,0 minutes,685 kcal,['Pâtes (Farfalles)', 'Courgette', 'Amandes (effilées)', 'Salade (roquette)', 'Chèvre frais', 'Sauce pesto'],['100 g', '1/4  ', '20 g', '1 poignée', '1 càs', '1 càs'],,,,,,,,,,,,,,
36,https://jow.fr/recipes/polenta-tomates-roties-8163exjegwds00ur0kb9,Polenta tomates rôties,-2 € par portion,8 minutes,10 minutes,0 minutes,448 kcal,['Polenta', 'Lait', 'Parmesan (râpé)', 'Tomate cerise', 'Feta', 'Salade (roquette)'],['50 g', '25 cl', '1 càs', '100 g', '20 g', '1 poignée'],,,,,,,,,,,,,,
37,https://jow.fr/recipes/ravioles-sautees-816489cagwds00ur0kgf,Ravioles sautées,2 € et 4 € par portion,2 minutes,4 minutes,0 minutes,460 kcal,['Ravioles du Dauphiné', 'Épinard (frais)', 'Noisette'],['120 g', '2 poignées', '10 g'],,,,,,,,,,,,,,,,,,,,
38,https://jow.fr/recipes/gnocchis-poeles-aux-tomates-8166eedmgwds00ur0ki8,Gnocchis poêlés aux tomates,-2 € par portion,4 minutes,5 minutes,0 minutes,410 kcal,['Gnocchi (à poêler)', 'Ail', 'Salade (roquette)', 'Basilic (frais)', 'Tomate cerise', 'Feta', 'Ricotta'],['150 g', '1/4 gou.', '1 poignée', '1/10 bou.', '50 g', '10 g', '1 càs'],,,,,,,,,,,,
39,https://jow.fr/recipes/creamy-avocado-pasta-816o8hs5m74g00un1873,Creamy avocado pasta,-2 € par portion,3 minutes,8 minutes,0 minutes,752 kcal,['Pâtes (Linguine)', 'Avocat', 'Basilic (frais)', 'Amandes (effilées)', 'Parmesan (morceaux)'],['120 g', '1/4  ', '1/5 bou.', '10 g', '15 g'],,,,,,,,,,,,,,,,
41,https://jow.fr/recipes/salade-saumon-mangue-avocat-818bgqy0krnk00sw0vlb,Salade saumon mangue avocat,+4 € par portion,0 minutes,9 minutes,0 minutes,532 kcal,['Saumon (fumé)', 'Mangue', 'Épinard (frais)', 'Gingembre (frais)', 'Sauce soja salée', 'Avocat', 'Citron vert', 'Graines de sésame'],['2 tran.', '1/4  ', '2 poignées', '1 cm', '1 càs', '1/2  ', '1/2  ', '1/2 càc'],,,,,,,,,,
42,https://jow.fr/recipes/wrap-saumon-818imdydbxgg00zb131u,Wrap Saumon,2 € et 4 € par portion,0 minutes,5 minutes,0 minutes,329 kcal,['Saumon (fumé)', 'Tortilla (blé)', 'Concombre', 'Fromage frais', 'Épinard (frais)', 'Citron jaune'],['2 tran.', '1  ', '1/10  ', '40 g', '1/2 poignée', '1/8  '],,,,,,,,,,,,,,
